ID	Gene Name	Species	GAD_DISEASE
BCCIP	BRCA2 and CDKN1A interacting protein(BCCIP)	Homo sapiens	Carcinoma, Basal Cell|Carcinoma, Squamous Cell|Coronary Artery Disease|Melanoma|Skin Neoplasms,Coronary Artery Disease,Waist Circumference,breast cancer   ,prostate cancer,
BRK1	BRICK1 subunit of SCAR/WAVE actin nucleating complex(BRK1)	Homo sapiens	Adrenal Gland Neoplasms|Carcinoma, Renal Cell|Cerebellar Neoplasms|Hemangioblastoma|Kidney Neoplasms|Pheochromocytoma|Retinal Neoplasms|von Hippel-Lindau Disease,
BTG3	BTG anti-proliferation factor 3(BTG3)	Homo sapiens	Cholesterol, HDL,Lipids,Respiratory Function Tests,
BANP	BTG3 associated nuclear protein(BANP)	Homo sapiens	Cornea,Fibrinogen,Menopause,Stroke,Tobacco Use Disorder,
BUD31	BUD31 homolog(BUD31)	Homo sapiens	Blood Pressure,
CCR7	C-C motif chemokine receptor 7(CCR7)	Homo sapiens	Birth Weight|Leukemia|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma,Diabetes Mellitus, Type 1,HIV,Leukemia, Lymphocytic, Chronic, B-Cell,Meningeal Neoplasms|meningioma,breast cancer   ,lupus erythematosus sclerosis, systemic Sjogren's syndrome,
CXCR4	C-X-C motif chemokine receptor 4(CXCR4)	Homo sapiens	Body Height,Breath Tests,Carcinoma, Hepatocellular|Liver Neoplasms,Carcinoma, Squamous Cell|Lymphatic Metastasis|Mouth Neoplasms,Celiac Disease|,Coronary Disease,Electrocardiography,HIV,HIV Infected Long- Term Nonprogressors,HIV Infections,HIV Infections|[X]Human immunodeficiency virus disease,HIV infection,HIV/SIV infection,Leukemia, Lymphocytic, Chronic, B-Cell,Lymphoma, Non-Hodgkin,Multiple Sclerosis,Neuroblastoma,Telomere,Type 2 Diabetes| edema | rosiglitazone,Type 2 diabetes,asthma,asthma; HIV disease progression,breast cancer   ,cirrhosis hepatitis B, chronic,colorectal cancer,diabetes, type 2,multiple sclerosis,thyroid cancer,
CXCR6	C-X-C motif chemokine receptor 6(CXCR6)	Homo sapiens	Acquired Immunodeficiency Syndrome,HIV,HIV; pneumocystis carinii pneumonia,monocyte chemoattractant protein 1 (66-77),ovarian cancer,
CMC1	C-X9-C motif containing 1(CMC1)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Body Mass Index,
CMC2	C-X9-C motif containing 2(CMC2)	Homo sapiens	high-density lipoprotein cholesterol ,smoking cessation,
CFLAR	CASP8 and FADD like apoptosis regulator(CFLAR)	Homo sapiens	Asthma|Bronchial Hyperreactivity,Hepatitis C, Chronic|HIV Infections|Liver Diseases,Hodgkin Disease|Leukemia, Lymphocytic, Chronic, B-Cell|Lymphoproliferative Disorders|Waldenstrom Macroglobulinemia,Lymphoma, Follicular,Multiple Myeloma,Type 2 Diabetes| edema | rosiglitazone,benzene haematotoxicity,breast cancer cervical cancer colorectal cancer esophageal cancer lung cancer stomach cancer,esophageal adenocarcinoma,lung cancer,multiple sclerosis,ovarian cancer,
CNOT1	CCR4-NOT transcription complex subunit 1(CNOT1)	Homo sapiens	Electrocardiography,QT interval,
CNOT6L	CCR4-NOT transcription complex subunit 6 like(CNOT6L)	Homo sapiens	Asthma,Cholesterol,Cholesterol, LDL,Tobacco Use Disorder,
CD164	CD164 molecule(CD164)	Homo sapiens	height,mean corpuscular volume,
CD2	CD2 molecule(CD2)	Homo sapiens	Arthritis, Rheumatoid|,Waist-Hip Ratio,
CD247	CD247 molecule(CD247)	Homo sapiens	Arthritis, Rheumatoid,Arthritis, Rheumatoid|,Autoimmune Diseases,Celiac Disease,Celiac disease,Hypertension,Lupus Erythematosus, Systemic,Lupus Erythematosus, Systemic|Systemic lupus erythematosus,Osteoporosis,Scleroderma, Systemic,Scleroderma, Systemic|Systemic Scleroderma,Sclerosis,
CD27	CD27 molecule(CD27)	Homo sapiens	Asthma|Bronchial Hyperreactivity,Chronic renal failure|Kidney Failure, Chronic,Multiple Myeloma,benzene haematotoxicity,longevity,
CD3D	CD3 delta subunit of T-cell receptor complex(CD3D)	Homo sapiens	Celiac Disease,Rhinitis, Allergic, Seasonal,
CD3E	CD3 epsilon subunit of T-cell receptor complex(CD3E)	Homo sapiens	CD3 epsilon locus on chromosome 11,Celiac Disease,Heart Failure,Type 2 Diabetes| edema | rosiglitazone,bronchodilator response,depression,diabetes, type 1,
CD3G	CD3 gamma subunit of T-cell receptor complex(CD3G)	Homo sapiens	Arthritis, Rheumatoid|,Celiac Disease,
CD37	CD37 molecule(CD37)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
CD48	CD48 molecule(CD48)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,diabetes, type 1,esophageal adenocarcinoma,schizophrenia,
CD5	CD5 molecule(CD5)	Homo sapiens	Chronic Lymphocytic Leukemia|Leukemia, Lymphocytic, Chronic, B-Cell|Lymphoma|Syndrome,DNA Damage|Leukemia, Lymphocytic, Chronic, B-Cell,Hodgkin Disease|Leukemia, Lymphocytic, Chronic, B-Cell|Lymphoproliferative Disorders|Waldenstrom Macroglobulinemia,Multiple Myeloma,benzene haematotoxicity,leukemia,
CD59	CD59 molecule (CD59 blood group)(CD59)	Homo sapiens	Lymphoma, Non-Hodgkin,Macular Degeneration,
CD69	CD69 molecule(CD69)	Homo sapiens	Addison Disease|,Arthritis, Rheumatoid|,Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1,Diabetes Mellitus, Type 1,Forced Vital Capacity,diabetes, type 1 ,type 1 diabetes,
CD74	CD74 molecule(CD74)	Homo sapiens	Celiac Disease,Heart Failure,Type 2 Diabetes| edema | rosiglitazone,
CD96	CD96 molecule(CD96)	Homo sapiens	Abnormalities, Multiple|Congenital Abnormalities|Craniofacial Abnormalities|Syndrome|Translocation, Genetic,Body Height,Glomerular Filtration Rate,
CDC42EP3	CDC42 effector protein 3(CDC42EP3)	Homo sapiens	Alzheimer Disease,Body Height,Bone Density,Conduct Disorder,Coronary Artery Disease,Diabetes Mellitus,Prostatic Neoplasms,Respiratory Function Tests,
CISD2	CDGSH iron sulfur domain 2(CISD2)	Homo sapiens	Diabetes Mellitus,
CLPTM1	CLPTM1 regulator of GABA type A receptor forward trafficking(CLPTM1)	Homo sapiens	Cleft Lip|Cleft Palate,Type 2 Diabetes| edema | rosiglitazone,benzene haematotoxicity,cleft lip with cleft palate; cleft lip without cleft palate,cleft lip with cleft palate; cleft lip without cleft palate; cleft palate,oral clefts,
CREBBP	CREB binding protein(CREBBP)	Homo sapiens	Alzheimer's disease   ,Body Weights and Measures,Dengue Hemorrhagic Fever,Femur Head Necrosis|,Huntington disease-like,Rubinstein-Taybi syndrome,Spinal Dysraphism,antipsychotic response | Weight Gain,breast cancer   ,bronchodilator response,depression,osteonecrosis, steroid induced,plasma HDL cholesterol (HDL-C) levels,
CTR9	CTR9 homolog, Paf1/RNA polymerase II complex component(CTR9)	Homo sapiens	Coronary Disease,Osteoporosis,
CWC22	CWC22 spliceosome associated protein homolog(CWC22)	Homo sapiens	Asthma,Carotid Arteries,Hematocrit,Hemoglobins,Lupus Erythematosus, Systemic,Myocardial Infarction,Obesity,Prostatic Neoplasms,Stroke,Tobacco Use Disorder,
CXXC1	CXXC finger protein 1(CXXC1)	Homo sapiens	Chronic lymphocytic leukemia,Leukemia, Lymphocytic, Chronic, B-Cell,
DCAF13	DDB1 and CUL4 associated factor 13(DCAF13)	Homo sapiens	Bone Mineral Density,Breath Tests,
DDX6	DEAD-box helicase 6(DDX6)	Homo sapiens	Liver Cirrhosis, Biliary,
DEK	DEK proto-oncogene(DEK)	Homo sapiens	Blood Pressure,Hemoglobins,rheumatoid arthritis,
DDX21	DExD-box helicase 21(DDX21)	Homo sapiens	Alzheimer's disease   ,
DDX50	DExD-box helicase 50(DDX50)	Homo sapiens	Depression,
DDIT4	DNA damage inducible transcript 4(DDIT4)	Homo sapiens	Uric Acid,
POLDIP2	DNA polymerase delta interacting protein 2(POLDIP2)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
DNAJC3	DnaJ heat shock protein family (Hsp40) member C3(DNAJC3)	Homo sapiens	Lipoproteins, HDL,
DNAJC9	DnaJ heat shock protein family (Hsp40) member C9(DNAJC9)	Homo sapiens	Tobacco Use Disorder,
EFCAB14	EF-hand calcium binding domain 14(EFCAB14)	Homo sapiens	Cholesterol, HDL,Hepatitis C, Chronic,Schizophrenia,
ELAVL1	ELAV like RNA binding protein 1(ELAVL1)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
EML4	EMAP like 4(EML4)	Homo sapiens	Adenocarcinoma|Lung Neoplasms|Neoplasm of lung ,
FBXW11	F-box and WD repeat domain containing 11(FBXW11)	Homo sapiens	HIV Infections|[X]Human immunodeficiency virus disease,
FIBP	FGF1 intracellular binding protein(FIBP)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
FKBP5	FKBP prolyl isomerase 5(FKBP5)	Homo sapiens	Addison Disease,Alcoholism,Glaucoma, Open-Angle,HIV Infections,HIV Infections|[X]Human immunodeficiency virus disease,Inflammation,Marijuana Abuse|Psychoses, Substance-Induced,Psychiatric Disorders,Recurrence,Substance-Related Disorders,Tobacco Use Disorder,affective psychoses,asthma,bipolar disorder,depression,major depressive disorder,posttraumatic stress disorder,response to antidepressants,
FKBP8	FKBP prolyl isomerase 8(FKBP8)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
FLII	FLII actin remodeling protein(FLII)	Homo sapiens	HIV Infections|[X]Human immunodeficiency virus disease,Type 2 Diabetes| edema | rosiglitazone,
FOSL2	FOS like 2, AP-1 transcription factor subunit(FOSL2)	Homo sapiens	Diabetes Mellitus, Type 1,Parkinson Disease,alcohol consumption,
FUS	FUS RNA binding protein(FUS)	Homo sapiens	Amyotrophic Lateral Sclerosis,Amyotrophic Lateral Sclerosis|,Amyotrophic Lateral Sclerosis|Frontotemporal dementia|Parkinsonian Disorders,Azoospermia|Infertility, Male|Oligospermia,Diabetes Mellitus, Type 2|Neoplasms|Obesity|Overweight,
FXYD5	FXYD domain containing ion transport regulator 5(FXYD5)	Homo sapiens	Behcet Syndrome,Type 2 Diabetes| edema | rosiglitazone,
GNL3	G protein nucleolar 3(GNL3)	Homo sapiens	Adiponectin,Bipolar Disorder,schizophrenia,
GNA13	G protein subunit alpha 13(GNA13)	Homo sapiens	Body Weights and Measures,Exercise Test,Leukocyte Count,Tobacco Use Disorder,Waist Circumference,
GNAI2	G protein subunit alpha i2(GNAI2)	Homo sapiens	Adenoma, Acidophil|Adenoma, Chromophobe|Pituitary Neoplasms,Type 2 Diabetes| edema | rosiglitazone,blood pressure, arterial,schizophrenia,
GSPT1	G1 to S phase transition 1(GSPT1)	Homo sapiens	Diabetes Mellitus,
GABARAPL2	GABA type A receptor associated protein like 2(GABARAPL2)	Homo sapiens	Bulimia,high-density lipoprotein cholesterol ,
GATA3	GATA binding protein 3(GATA3)	Homo sapiens	Asthma,Asthma|Bronchial Hyperreactivity|Hypersensitivity, Immediate,Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Creatinine,Dermatitis, Atopic,Diabetes Mellitus,Erythrocyte Count,Hodgkin Disease,Hypersensitivity,Hypersensitivity, Immediate|Rhinitis,Hypertension,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Respiratory Function Tests,Rhinitis, Allergic, Perennial,Sodium,Stroke,allergic rhinitis,asthma,bladder cancer,breast cancer,breast cancer   ,bronchodilator response,chronic obstructive pulmonary disease,lung cancer,lung cancer ,respiratory syncytial virus bronchiolitis,
GATAD2B	GATA zinc finger domain containing 2B(GATAD2B)	Homo sapiens	Lipoproteins,
HTATSF1	HIV-1 Tat specific factor 1(HTATSF1)	Homo sapiens	HIV Infections|[X]Human immunodeficiency virus disease,
HTRA2	HtrA serine peptidase 2(HTRA2)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,Parkinson's disease    ,
IK	IK cytokine(IK)	Homo sapiens	Celiac Disease,Narcolepsy,
IKZF1	IKAROS family zinc finger 1(IKZF1)	Homo sapiens	Acute lymphoblastic leukemia (childhood),Crohn Disease|Crohn's disease|Inflammatory bowel disease, NOS|Inflammatory Bowel Diseases,Hepatopulmonary Syndrome|Liver Cirrhosis,Lupus Erythematosus, Systemic,Lupus Erythematosus, Systemic|Lupus Nephritis|Nephritis SLE|Systemic lupus erythematosus,Neoplasm Recurrence, Local|Precursor Cell Lymphoblastic Leukemia-Lymphoma,acute lymphoblastic leukemia,hippocampal atrophy,leukemia,mean corpuscular volume,systemic lupus erythematosus,
ITK	IL2 inducible T cell kinase(ITK)	Homo sapiens	Body Mass Index,Body Weight Changes,Celiac Disease|,Personality,Rhinitis, Allergic, Seasonal,atopy; dermatitis and eczema,
JAK1	Janus kinase 1(JAK1)	Homo sapiens	Acute T Cell Leukemia|Leukemia-Lymphoma, Adult T-Cell,Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Carcinoma, Hepatocellular|Liver Neoplasms,Dengue Hemorrhagic Fever,HIV Infections|[X]Human immunodeficiency virus disease,Hepatitis B, Chronic,Hepatitis B, Chronic|Viremia,Hepatitis C, Chronic|Liver Cirrhosis,Hepatitis C, Chronic|Neutropenia|Thrombocytopenia,Leukemia, Myeloid, Acute,Lymphoproliferative Disorders|Myelodysplastic Syndromes,Myeloproliferative Disorders|Philadelphia Chromosome|Polycythemia Vera|Primary Myelofibrosis|Thrombocythemia, Essential|Thrombocythemia, Hemorrhagic,Neoplasms,Polycythemia Vera|Primary Myelofibrosis,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Tobacco Use Disorder,Type 2 Diabetes| edema | rosiglitazone,hepatitis B,multiple sclerosis,myeloid leukemia,respiratory syncytial virus bronchiolitis,thyroid cancer,
KIAA1191	KIAA1191(KIAA1191)	Homo sapiens	Alcoholism,
LBH	LBH regulator of WNT signaling pathway(LBH)	Homo sapiens	Albumins,Asthma,Celiac Disease|,F8 protein, human,Height,height,
LASP1	LIM and SH3 protein 1(LASP1)	Homo sapiens	Tobacco Use Disorder,autism,
LIMA1	LIM domain and actin binding 1(LIMA1)	Homo sapiens	Echocardiography,
LRRFIP2	LRR binding FLII interacting protein 2(LRRFIP2)	Homo sapiens	Tobacco Use Disorder,
LSM8	LSM8 homolog, U6 small nuclear RNA associated(LSM8)	Homo sapiens	Echocardiography,Hemoglobins,
LUC7L3	LUC7 like 3 pre-mRNA splicing factor(LUC7L3)	Homo sapiens	Narcolepsy,
MLX	MAX dimerization protein MLX(MLX)	Homo sapiens	Alzheimer's disease   ,
MLLT3	MLLT3 super elongation complex subunit(MLLT3)	Homo sapiens	Iron,Tobacco Use Disorder,lung cancer,
MORC3	MORC family CW-type zinc finger 3(MORC3)	Homo sapiens	Neuroblastoma,
MSL3	MSL complex subunit 3(MSL3)	Homo sapiens	Cholesterol, HDL,
MAZ	MYC associated zinc finger protein(MAZ)	Homo sapiens	Autism,
MEAF6	MYST/Esa1 associated factor 6(MEAF6)	Homo sapiens	Erythrocyte Count,Erythrocytes,
MRFAP1L1	Morf4 family associated protein 1 like 1(MRFAP1L1)	Homo sapiens	Iron,
NDRG1	N-myc downstream regulated 1(NDRG1)	Homo sapiens	Aging/ Telomere Length,Charcot-Marie-Tooth disease,Tobacco Use Disorder,cognitive trait,colorectal cancer,
NMT1	N-myristoyltransferase 1(NMT1)	Homo sapiens	HIV Infections|[X]Human immunodeficiency virus disease,Tobacco Use Disorder,
NDUFA2	NADH:ubiquinone oxidoreductase subunit A2(NDUFA2)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,drug-related genes ,
NCK1	NCK adaptor protein 1(NCK1)	Homo sapiens	longevity,
NFKBIA	NFKB inhibitor alpha(NFKBIA)	Homo sapiens	Adenocarcinoma|Stomach Neoplasms,Alcoholism|Liver Cirrhosis, Alcoholic,Arthritis, Psoriatic|Psoriasis|Psoriatic arthropathy,Arthritis, Rheumatoid|,Arthritis, Rheumatoid|Rheumatoid Arthritis,Arthritis, Rheumatoid|Rheumatoid Arthritis|Anti-TNF Response,Asthma|Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Behcet Syndrome,Bone Mineral Density,Bronchiolitis, Viral|Respiratory Syncytial Virus Infections,Carcinoma, Hepatocellular|Hepatitis B|Liver Cirrhosis|Liver Neoplasms,Chronic renal failure|Kidney Failure, Chronic,Connective Tissue Diseases|Fetal Diseases|Inflammation|Musculoskeletal Diseases|Pregnancy Complications, Hematologic|Premature Birth|Skin Diseases,Crohn's disease,Glioblastoma,Graves disease,HIV,Hodgkin Disease,Hodgkin Disease|Leukemia, Lymphocytic, Chronic, B-Cell|Lymphoproliferative Disorders|Waldenstrom Macroglobulinemia,Hodgkin's disease,Inflammation|Premature Birth,Inflammatory Bowel Diseases,Lupus Erythematosus, Systemic,Lymphoma, Non-Hodgkin,Multiple Myeloma,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Psoriasis,Stroke,Tobacco Use Disorder,Type 2 Diabetes| edema | rosiglitazone,ankylosing spondylitis,atherosclerosis,autosomal dominant anhidrotic ectodermal dysplasia and T cell immunodeficiency,benzene haematotoxicity,breast cancer,breast cancer   ,colorectal cancer,diabetes, type 1,esophageal adenocarcinoma,insulin resistance,liver cancer,lung cancer,lung cancer ,melanoma,multiple myeloma,normal variation,ovarian cancer,ovarian cancer  ,plasma HDL cholesterol (HDL-C) levels,pneumococcal empyema pneumonia,respiratory syncytial virus bronchiolitis,rheumatoid arthritis,vascular disease,
NFU1	NFU1 iron-sulfur cluster scaffold(NFU1)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
NME3	NME/NM23 nucleoside diphosphate kinase 3(NME3)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
NSMCE3	NSE3 homolog, SMC5-SMC6 complex component(NSMCE3)	Homo sapiens	Attention Deficit Disorder with Hyperactivity,Heart Rate,
NUBP2	NUBP iron-sulfur cluster assembly factor 2, cytosolic(NUBP2)	Homo sapiens	Insulin-Like Growth Factor Binding Protein 5,bladder cancer,chronic obstructive pulmonary disease,lung cancer,lung cancer ,
OFD1	OFD1 centriole and centriolar satellite protein(OFD1)	Homo sapiens	Type 2 Diabetes| edema | rosiglitazone,
OLA1	Obg like ATPase 1(OLA1)	Homo sapiens	Tobacco Use Disorder,
PBX4	PBX homeobox 4(PBX4)	Homo sapiens	Cardiovascular Diseases,LDL cholesterol,Lipid Metabolism Disorders,triglycerides,
PML	PML nuclear body scaffold(PML)	Homo sapiens	Apoplexy|Cerebral Hemorrhage|Cerebral Hemorrhages|Intracranial Hemorrhages|Stroke|Subarachnoid Hemorrhage,Body Height,Leukemia, Lymphocytic, Chronic, B-Cell,Paget's disease,Tobacco Use Disorder,hypertension,leukemia,longevity,
RAB10	RAB10, member RAS oncogene family(RAB10)	Homo sapiens	Tobacco Use Disorder,
RAB11A	RAB11A, member RAS oncogene family(RAB11A)	Homo sapiens	Acquired Immunodeficiency Syndrome|Disease Progression,
RAB29	RAB29, member RAS oncogene family(RAB29)	Homo sapiens	Parkinson Disease,Parkinson's disease,
RAB2A	RAB2A, member RAS oncogene family(RAB2A)	Homo sapiens	Cholesterol, HDL,HIV Infections|[X]Human immunodeficiency virus disease,
RAB7A	RAB7A, member RAS oncogene family(RAB7A)	Homo sapiens	Erythrocyte Count,Hereditary Sensory and Autonomic Neuropathies,Neutrophils,
RAP1A	RAP1A, member of RAS oncogene family(RAP1A)	Homo sapiens	Blood Pressure,Carcinoma, Papillary|Thyroid Neoplasms,Echocardiography,Lipoproteins, VLDL,Osteoporosis,
RAP1B	RAP1B, member of RAS oncogene family(RAP1B)	Homo sapiens	Carcinoma, Papillary|Thyroid Neoplasms,HIV Infections|[X]Human immunodeficiency virus disease,
RASGRP1	RAS guanyl releasing protein 1(RASGRP1)	Homo sapiens	Autism,Bipolar Disorder,Bipolar disorder,Blood Pressure,Diabetes Mellitus, Type 1,Drug-Induced Liver Injury|Precursor Cell Lymphoblastic Leukemia-Lymphoma,diabetes, type 1 ,type 1 diabetes,
RBBP8	RB binding protein 8, endonuclease(RBBP8)	Homo sapiens	Adenocarcinoma|Pancreatic Neoplasms,Height,breast cancer   ,height,ovarian cancer  ,
RB1CC1	RB1 inducible coiled-coil 1(RB1CC1)	Homo sapiens	bladder cancer,chronic obstructive pulmonary disease,esophageal adenocarcinoma,lung cancer,lung cancer ,
REL	REL proto-oncogene, NF-kB subunit(REL)	Homo sapiens	Arthritis, Psoriatic,Arthritis, Rheumatoid,Arthritis, Rheumatoid|,Arthritis, Rheumatoid|Rheumatoid Arthritis,Arthritis, Rheumatoid|Rheumatoid Arthritis|Anti-TNF Response,Celiac Disease|,Celiac disease,Hodgkin Disease,Hodgkin Disease|Leukemia, Lymphocytic, Chronic, B-Cell|Lymphoproliferative Disorders|Waldenstrom Macroglobulinemia,Inflammation|Lymphoma, Non-Hodgkin|Lymphoma, Non-Hodgkin's,Lymphoma, Non-Hodgkin,Multiple Myeloma,Psoriasis,Type 2 Diabetes| edema | rosiglitazone,benzene haematotoxicity,normal variation,plasma HDL cholesterol (HDL-C) levels,rheumatoid arthritis,ulcerative colitis,
RELB	RELB proto-oncogene, NF-kB subunit(RELB)	Homo sapiens	Arthritis, Rheumatoid|,Arthritis, Rheumatoid|Rheumatoid Arthritis|Anti-TNF Response,Hodgkin Disease|Leukemia, Lymphocytic, Chronic, B-Cell|Lymphoproliferative Disorders|Waldenstrom Macroglobulinemia,Multiple Myeloma,Type 2 Diabetes| edema | rosiglitazone,benzene haematotoxicity,normal variation,plasma HDL cholesterol (HDL-C) levels,prostate cancer,
RBM17	RNA binding motif protein 17(RBM17)	Homo sapiens	Alzheimer's disease   ,Diabetes Mellitus, Insulin-Dependent|Diabetes Mellitus, Type 1,
RBMX	RNA binding motif protein X-linked(RBMX)	Homo sapiens	azoospermia,
RNPS1	RNA binding protein with serine rich domain 1(RNPS1)	Homo sapiens	Hemoglobin A, Glycosylated,
RTF1	RTF1 homolog, Paf1/RNA polymerase II complex component(RTF1)	Homo sapiens	Cholesterol, LDL,Tobacco Use Disorder,
RWDD1	RWD domain containing 1(RWDD1)	Homo sapiens	Cleft Lip|Cleft Palate|Tooth Abnormalities,
RABGGTB	Rab geranylgeranyltransferase subunit beta(RABGGTB)	Homo sapiens	Tobacco Use Disorder,
RAC1	Rac family small GTPase 1(RAC1)	Homo sapiens	Birth Weight|Leukemia|Leukemia, Myeloid, Acute|Precursor Cell Lymphoblastic Leukemia-Lymphoma,Brain Neoplasms|Occupational Diseases,HIV,Lymphoma, Non-Hodgkin,Meningeal Neoplasms|meningioma,Mental Retardation,bladder cancer,chronic obstructive pulmonary disease,coronary spastic angina,lung cancer,lung cancer ,
RALGAPA1	Ral GTPase activating protein catalytic subunit alpha 1(RALGAPA1)	Homo sapiens	Tobacco Use Disorder,
RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1(RAP1GDS1)	Homo sapiens	Biochemical measures,Blood Flow Velocity,Lipids,Triglycerides,normal variation,
