ID	Gene Name	Species	DISGENET
ABCF2	ATP binding cassette subfamily F member 2(ABCF2)	Homo sapiens	C0235874~Disease Exacerbation,
ACLY	ATP citrate lyase(ACLY)	Homo sapiens	C0018801~Heart failure,C0018802~Congestive heart failure,C0023212~Left-Sided Heart Failure,C0028754~Obesity,C0235527~Heart Failure, Right-Sided,C1959583~Myocardial Failure,C1961112~Heart Decompensation,C2239176~Liver carcinoma,
ATP6V1B2	ATPase H+ transporting V1 subunit B2(ATP6V1B2)	Homo sapiens	C0024301~Lymphoma, Follicular,C0029408~Degenerative polyarthritis,C0079745~Lymphoma, Large-Cell, Follicular,C0079758~Lymphoma, Mixed-Cell, Follicular,C0079765~Lymphoma, Small Cleaved-Cell, Follicular,C0086743~Osteoarthrosis Deformans,C0796013~Zimmerman Laband syndrome,C1956130~Lymphoma, Follicular, Grade 1,C1956131~Lymphoma, Follicular, Grade 3,C1956132~Lymphoma, Follicular, Grade 2,C2675730~Deafness, Congenital, and Onychodystrophy, Autosomal Dominant,C4225321~ZIMMERMANN-LABAND SYNDROME 2,
ATP2B1	ATPase plasma membrane Ca2+ transporting 1(ATP2B1)	Homo sapiens	C0010054~Coronary Arteriosclerosis,C0020538~Hypertensive disease,C0086543~Cataract,C0524524~Pseudoaphakia,C1510497~Lens Opacities,C1956346~Coronary Artery Disease,
ATRX	ATRX chromatin remodeler(ATRX)	Homo sapiens	C0010417~Cryptorchidism,C0010606~Adenoid Cystic Carcinoma,C0017638~Glioma,C0018273~Growth Disorders,C0027819~Neuroblastoma,C0030297~Pancreatic Neoplasm,C0030846~Penile Diseases,C0039978~Thoracic Diseases,C0206754~Neuroendocrine Tumors,C0259783~mixed gliomas,C0346647~Malignant neoplasm of pancreas,C0376634~Craniofacial Abnormalities,C0431663~Bilateral Cryptorchidism,C0431664~Unilateral Cryptorchidism,C0555198~Malignant Glioma,C0585216~Alpha-Thalassemia Myelodysplasia Syndrome,C0796003~Juberg-Marsidi syndrome,C0796159~Mental retardation Smith Fineman Myers type,C1136249~Mental Retardation, X-Linked,C1328479~Pancreatic Endocrine Carcinoma,C1563730~Abdominal Cryptorchidism,C1563731~Inguinal Cryptorchidism,C1621958~Glioblastoma Multiforme,C1845055~ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, NONDELETION TYPE, X-LINKED,C2713368~Hematopoetic Myelodysplasia,C3463824~MYELODYSPLASTIC SYNDROME,
AHI1	Abelson helper integration site 1(AHI1)	Homo sapiens	C0004352~Autistic Disorder,C0007760~Cerebellar Diseases,C0015397~Disorder of eye,C0020796~Profound Mental Retardation,C0025363~Mental Retardation, Psychosocial,C0035304~Retinal Degeneration,C0035334~Retinitis Pigmentosa,C0036341~Schizophrenia,C0152427~Polydactyly,C0162538~Immunoglobulin A deficiency (disorder),C0431399~Familial aplasia of the vermis,C0917816~Mental deficiency,C1837713~JOUBERT SYNDROME 3,C3553264~JOUBERT SYNDROME 17,C3714756~Intellectual Disability,C4274118~Joubert syndrome with ocular defect,C4277690~Ciliopathies,C4551568~Joubert syndrome 1,
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1(ACAP1)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0009402~Colorectal Carcinoma,
BCAP31	B cell receptor associated protein 31(BCAP31)	Homo sapiens	C1845408~Contiguous Abcd1-Dxs1375e Deletion Syndrome,C3806634~DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION,
BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB(BDP1)	Homo sapiens	C3711374~Nonsyndromic Deafness,
BANF1	BAF nuclear assembly factor 1(BANF1)	Homo sapiens	C3151446~Nestor Guillermo progeria syndrome,
BAG1	BAG cochaperone 1(BAG1)	Homo sapiens	C0005586~Bipolar Disorder,C0006142~Malignant neoplasm of breast,C0011570~Mental Depression,C0011581~Depressive disorder,C0021367~Mammary Ductal Carcinoma,C0036341~Schizophrenia,C0678222~Breast Carcinoma,C1134719~Invasive Ductal Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C4704874~Mammary Carcinoma, Human,
BID	BH3 interacting domain death agonist(BID)	Homo sapiens	C0005586~Bipolar Disorder,C0024623~Malignant neoplasm of stomach,C0036341~Schizophrenia,C0038356~Stomach Neoplasms,C1708349~Hereditary Diffuse Gastric Cancer,C2239176~Liver carcinoma,
BRMS1	BRMS1 transcriptional repressor and anoikis regulator(BRMS1)	Homo sapiens	C0027626~Neoplasm Invasiveness,C0027627~Neoplasm Metastasis,
BTG3	BTG anti-proliferation factor 3(BTG3)	Homo sapiens	C0007134~Renal Cell Carcinoma,C0008370~Cholestasis,C0087031~Juvenile-Onset Still Disease,C0279702~Conventional (Clear Cell) Renal Cell Carcinoma,C1266042~Chromophobe Renal Cell Carcinoma,C1266043~Sarcomatoid Renal Cell Carcinoma,C1266044~Collecting Duct Carcinoma of the Kidney,C1306837~Papillary Renal Cell Carcinoma,C3495559~Juvenile arthritis,C3714758~Juvenile psoriatic arthritis,C4552091~Polyarthritis, Juvenile, Rheumatoid Factor Negative,C4704862~Polyarthritis, Juvenile, Rheumatoid Factor Positive,
CCR7	C-C motif chemokine receptor 7(CCR7)	Homo sapiens	C0023493~Adult T-Cell Lymphoma/Leukemia,C0038220~Status Epilepticus,C0178417~Anhedonia,C0270823~Petit mal status,C0311335~Grand Mal Status Epilepticus,C0393734~Complex Partial Status Epilepticus,C0751522~Status Epilepticus, Subclinical,C0751523~Non-Convulsive Status Epilepticus,C0751524~Simple Partial Status Epilepticus,
CXCR4	C-X-C motif chemokine receptor 4(CXCR4)	Homo sapiens	C0003873~Rheumatoid Arthritis,C0006142~Malignant neoplasm of breast,C0007621~Neoplastic Cell Transformation,C0027626~Neoplasm Invasiveness,C0027627~Neoplasm Metastasis,C0027719~Nephrosclerosis,C0027796~Neuralgia,C0038870~Neuralgia, Supraorbital,C0042656~Neuralgia, Vidian,C0087031~Juvenile-Onset Still Disease,C0234247~Neuralgia, Atypical,C0234249~Neuralgia, Stump,C0340970~Congenital neutropenia,C0423711~Neuralgia, Perineal,C0423712~Neuralgia, Iliohypogastric Nerve,C0472817~WHIM syndrome,C0678222~Breast Carcinoma,C0751371~Neuralgia, Ilioinguinal,C0751372~Nerve Pain,C0751373~Paroxysmal Nerve Pain,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C1834176~MYELOKATHEXIS, ISOLATED,C3495559~Juvenile arthritis,C3714758~Juvenile psoriatic arthritis,C4552091~Polyarthritis, Juvenile, Rheumatoid Factor Negative,C4704862~Polyarthritis, Juvenile, Rheumatoid Factor Positive,C4704874~Mammary Carcinoma, Human,
CMC2	C-X9-C motif containing 2(CMC2)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C4704874~Mammary Carcinoma, Human,
CFLAR	CASP8 and FADD like apoptosis regulator(CFLAR)	Homo sapiens	C0019829~Hodgkin Disease,C0023418~leukemia,C0030297~Pancreatic Neoplasm,C0152266~Mixed Cellularity Hodgkin Lymphoma,C0152267~Hodgkin lymphoma, lymphocyte depletion,C0220597~Adult Hodgkin Lymphoma,C0346647~Malignant neoplasm of pancreas,C0392788~Nasal Type Extranodal NK/T-Cell Lymphoma,C1266194~Lymphocyte Rich Classical Hodgkin Lymphoma,C1334968~Nodular Lymphocyte Predominant Hodgkin Lymphoma,C1955906~Lymphoma, Extranodal NK-T-Cell,C2713368~Hematopoetic Myelodysplasia,C3463824~MYELODYSPLASTIC SYNDROME,
CNOT1	CCR4-NOT transcription complex subunit 1(CNOT1)	Homo sapiens	C0557874~Global developmental delay,
CD164	CD164 molecule(CD164)	Homo sapiens	C0000786~Spontaneous abortion,C0000822~Abortion, Tubal,C3711374~Nonsyndromic Deafness,C3830362~Early Pregnancy Loss,C4283893~DEAFNESS, AUTOSOMAL DOMINANT 66,C4552766~Miscarriage,
CD2	CD2 molecule(CD2)	Homo sapiens	C0003873~Rheumatoid Arthritis,C0006142~Malignant neoplasm of breast,C0027726~Nephrotic Syndrome,C0040053~Thrombosis,C0087086~Thrombus,
CD247	CD247 molecule(CD247)	Homo sapiens	C0036421~Systemic Scleroderma,C0085110~Severe Combined Immunodeficiency,C1857798~Immunodeficiency due to Defect in CD3-Zeta,C2931171~Juvenile pauciarticular chronic arthritis,
CD27	CD27 molecule(CD27)	Homo sapiens	C0006625~Cachexia,C0494261~Combined immunodeficiency,C3554540~LYMPHOPROLIFERATIVE SYNDROME 2,
CD3D	CD3 delta subunit of T-cell receptor complex(CD3D)	Homo sapiens	C0008312~Primary biliary cirrhosis,C0023892~Biliary cirrhosis,C0023895~Liver diseases,C0085110~Severe Combined Immunodeficiency,C0086565~Liver Dysfunction,C0149504~Encephalopathy, Toxic,C0154659~Toxic Encephalitis,C0162820~Dermatitis, Allergic Contact,C0235032~Neurotoxicity Syndromes,C0238065~Secondary Biliary Cholangitis,C0242583~Bare Lymphocyte Syndrome,C2700553~Omenn Syndrome,C3810147~IMMUNODEFICIENCY 19,C4551595~Biliary Cirrhosis, Primary, 1,
CD3E	CD3 epsilon subunit of T-cell receptor complex(CD3E)	Homo sapiens	C0003257~Antibody Deficiency Syndrome,C0003873~Rheumatoid Arthritis,C0021051~Immunologic Deficiency Syndromes,C0021368~Inflammation,C0085110~Severe Combined Immunodeficiency,C0238198~Gastrointestinal Stromal Tumors,C0242583~Bare Lymphocyte Syndrome,C1861284~Immunodeficiency due to Defect in CD3-Epsilon,C2700553~Omenn Syndrome,C3179349~Gastrointestinal Stromal Sarcoma,C3810127~IMMUNODEFICIENCY 18,C3810129~IMMUNODEFICIENCY 18, SCID VARIANT,
CD3G	CD3 gamma subunit of T-cell receptor complex(CD3G)	Homo sapiens	C0494261~Combined immunodeficiency,C3810107~IMMUNODEFICIENCY 17,
CD48	CD48 molecule(CD48)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,
CD5	CD5 molecule(CD5)	Homo sapiens	C0003873~Rheumatoid Arthritis,C0023434~Chronic Lymphocytic Leukemia,
CD59	CD59 molecule (CD59 blood group)(CD59)	Homo sapiens	C0024790~Paroxysmal nocturnal hemoglobinuria,C0272242~Complement deficiency disease,C1148551~X-Linked Dyskeratosis Congenita,C2676767~CD59 Deficiency,C4727002~Chronic Hemolysis,C4755276~Primary CD59 deficiency,
CD69	CD69 molecule(CD69)	Homo sapiens	C0000786~Spontaneous abortion,C0000822~Abortion, Tubal,C0003864~Arthritis,C0003865~Arthritis, Adjuvant-Induced,C0011854~Diabetes Mellitus, Insulin-Dependent,C0162323~Polyarthritis,C0205734~Diabetes, Autoimmune,C0342302~Brittle diabetes,C0971858~Arthritis, Collagen-Induced,C0993582~Arthritis, Experimental,C3830362~Early Pregnancy Loss,C3837958~Diabetes Mellitus, Ketosis-Prone,C4552766~Miscarriage,C4554117~Diabetes Mellitus, Sudden-Onset,
CD74	CD74 molecule(CD74)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0007131~Non-Small Cell Lung Carcinoma,C0023893~Liver Cirrhosis, Experimental,C0162557~Liver Failure, Acute,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C4704874~Mammary Carcinoma, Human,
CD96	CD96 molecule(CD96)	Homo sapiens	C0152427~Polydactyly,C0796095~Opitz trigonocephaly syndrome,
CDC42EP3	CDC42 effector protein 3(CDC42EP3)	Homo sapiens	C0036341~Schizophrenia,
CISD2	CDGSH iron sulfur domain 2(CISD2)	Homo sapiens	C0011860~Diabetes Mellitus, Non-Insulin-Dependent,C0043207~Wolfram Syndrome,C1384666~hearing impairment,C1858028~WOLFRAM SYNDROME 2,
CMTM3	CKLF like MARVEL transmembrane domain containing 3(CMTM3)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,
CLPTM1	CLPTM1 regulator of GABA type A receptor forward trafficking(CLPTM1)	Homo sapiens	C0030297~Pancreatic Neoplasm,C0346647~Malignant neoplasm of pancreas,
COPS3	COP9 signalosome subunit 3(COPS3)	Homo sapiens	C0019209~Hepatomegaly,
COPS5	COP9 signalosome subunit 5(COPS5)	Homo sapiens	C0014518~Toxic Epidermal Necrolysis,C0038325~Stevens-Johnson Syndrome,C1274933~Drug-Induced Stevens Johnson Syndrome,C2239176~Liver carcinoma,C3658301~Mycoplasma-Induced Stevens-Johnson Syndrome,C3658302~Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum,
COPB2	COPI coat complex subunit beta 2(COPB2)	Homo sapiens	C0264080~Juvenile osteoporosis,C3711387~Autosomal Recessive Primary Microcephaly,C4540488~MICROCEPHALY 19, PRIMARY, AUTOSOMAL RECESSIVE,
CREBBP	CREB binding protein(CREBBP)	Homo sapiens	C0005684~Malignant neoplasm of urinary bladder,C0005695~Bladder Neoplasm,C0007137~Squamous cell carcinoma,C0007138~Carcinoma, Transitional Cell,C0010606~Adenoid Cystic Carcinoma,C0011573~Endogenous depression,C0023467~Leukemia, Myelocytic, Acute,C0024301~Lymphoma, Follicular,C0024305~Lymphoma, Non-Hodgkin,C0033578~Prostatic Neoplasms,C0035934~Rubinstein-Taybi Syndrome,C0036920~Sezary Syndrome,C0079744~Diffuse Large B-Cell Lymphoma,C0079745~Lymphoma, Large-Cell, Follicular,C0079758~Lymphoma, Mixed-Cell, Follicular,C0079765~Lymphoma, Small Cleaved-Cell, Follicular,C0149925~Small cell carcinoma of lung,C0152013~Adenocarcinoma of lung (disorder),C0268731~Renal glomerular disease,C0279626~Squamous cell carcinoma of esophagus,C0376358~Malignant neoplasm of prostate,C1862939~AMYOTROPHIC LATERAL SCLEROSIS 1,C1862941~Amyotrophic Lateral Sclerosis, Sporadic,C1956130~Lymphoma, Follicular, Grade 1,C1956131~Lymphoma, Follicular, Grade 3,C1956132~Lymphoma, Follicular, Grade 2,C1961102~Precursor Cell Lymphoblastic Leukemia Lymphoma,C4511003~Acute myeloid leukemia with t(8;16)(p11;p13) translocation,C4521256~Glomerulopathy Assessment,C4551859~RUBINSTEIN-TAYBI SYNDROME 1,C4551993~Amyotrophic Lateral Sclerosis, Familial,
DDX6	DEAD-box helicase 6(DDX6)	Homo sapiens	C0003873~Rheumatoid Arthritis,C0042063~Urogenital Abnormalities,C0231686~Gait, Unsteady,C0243050~Cardiovascular Abnormalities,C0557874~Global developmental delay,C1387925~Abnormality of limbs,C1858120~Generalized hypotonia,C3714756~Intellectual Disability,
DEK	DEK proto-oncogene(DEK)	Homo sapiens	C0006142~Malignant neoplasm of breast,C0027626~Neoplasm Invasiveness,C0027627~Neoplasm Metastasis,C0678222~Breast Carcinoma,C1257931~Mammary Neoplasms, Human,C1458155~Mammary Neoplasms,C4704874~Mammary Carcinoma, Human,
DDIT4	DNA damage inducible transcript 4(DDIT4)	Homo sapiens	C0003873~Rheumatoid Arthritis,C0023418~leukemia,C0026636~Mouth Diseases,C0027746~Nerve Degeneration,C0030567~Parkinson Disease,C0041696~Unipolar Depression,C1269683~Major Depressive Disorder,
DNAJC3	DnaJ heat shock protein family (Hsp40) member C3(DNAJC3)	Homo sapiens	C0033578~Prostatic Neoplasms,C0376358~Malignant neoplasm of prostate,C4015436~ATAXIA, COMBINED CEREBELLAR AND PERIPHERAL, WITH HEARING LOSS AND DIABETES MELLITUS,
DNAJC7	DnaJ heat shock protein family (Hsp40) member C7(DNAJC7)	Homo sapiens	C0019693~HIV Infections,C4505456~HIV Coinfection,
ELAVL1	ELAV like RNA binding protein 1(ELAVL1)	Homo sapiens	C0014175~Endometriosis,C0269102~Endometrioma,
EML4	EMAP like 4(EML4)	Homo sapiens	C0006118~Brain Neoplasms,C0007131~Non-Small Cell Lung Carcinoma,C0027627~Neoplasm Metastasis,C0152013~Adenocarcinoma of lung (disorder),C0153633~Malignant neoplasm of brain,C0496899~Benign neoplasm of brain, unspecified,C0750974~Brain Tumor, Primary,C0750977~Recurrent Brain Neoplasm,C0750979~Primary malignant neoplasm of brain,C1527390~Neoplasms, Intracranial,
EWSR1	EWS RNA binding protein 1(EWSR1)	Homo sapiens	C0002736~Amyotrophic Lateral Sclerosis,C0033578~Prostatic Neoplasms,C0206651~Clear Cell Sarcoma of Soft Tissue,C0206663~Neuroectodermal Tumor, Primitive,C0279980~Extra-osseous Ewing's sarcoma,C0281508~Desmoplastic Small Round Cell Tumor,C0334584~Spongioblastoma,C0334596~Medulloepithelioma,C0376358~Malignant neoplasm of prostate,C0553580~Ewings sarcoma,C0700367~Ependymoblastoma,C0751675~Cerebral Primitive Neuroectodermal Tumor,C1275278~Extraskeletal Myxoid Chondrosarcoma,
FBXW11	F-box and WD repeat domain containing 11(FBXW11)	Homo sapiens	C0557874~Global developmental delay,C2677504~AUTISM, SUSCEPTIBILITY TO, 15,C3550704~Abnormality of digit,C3714756~Intellectual Disability,C4021812~Abnormality of the head,C4316870~Abnormality of the eye,
FIBP	FGF1 intracellular binding protein(FIBP)	Homo sapiens	C4310715~THAUVIN-ROBINET-FAIVRE SYNDROME,
FKBP5	FKBP prolyl isomerase 5(FKBP5)	Homo sapiens	C0001973~Alcoholic Intoxication, Chronic,C0003873~Rheumatoid Arthritis,C0005586~Bipolar Disorder,C0011570~Mental Depression,C0011574~Involutional Depression,C0011581~Depressive disorder,C0014175~Endometriosis,C0021290~Neonatal disorder,C0033975~Psychotic Disorders,C0041696~Unipolar Depression,C0269102~Endometrioma,C0349204~Nonorganic psychosis,C0525041~Neurobehavioral Manifestations,C0525045~Mood Disorders,C1269683~Major Depressive Disorder,C1571983~Involutional paraphrenia,C1571984~Psychosis, Involutional,C2362914~clinical depression,
FLII	FLII actin remodeling protein(FLII)	Homo sapiens	C0795864~Smith-Magenis syndrome,
FOSL2	FOS like 2, AP-1 transcription factor subunit(FOSL2)	Homo sapiens	C0017636~Glioblastoma,C0024121~Lung Neoplasms,C0087031~Juvenile-Onset Still Disease,C0242379~Malignant neoplasm of lung,C0334588~Giant Cell Glioblastoma,C1621958~Glioblastoma Multiforme,C3495559~Juvenile arthritis,C3714758~Juvenile psoriatic arthritis,C4552091~Polyarthritis, Juvenile, Rheumatoid Factor Negative,C4704862~Polyarthritis, Juvenile, Rheumatoid Factor Positive,
FUS	FUS RNA binding protein(FUS)	Homo sapiens	C0002736~Amyotrophic Lateral Sclerosis,C0006142~Malignant neoplasm of breast,C0206634~Liposarcoma, Myxoid,C0393554~Amyotrophic Lateral Sclerosis With Dementia,C0497327~Dementia,C0543859~Amyotrophic Lateral Sclerosis, Guam Form,C1842675~AMYOTROPHIC LATERAL SCLEROSIS 6 (disorder),C2750729~Amyotrophic Lateral Sclerosis 6, Autosomal Recessive,C3468114~Juvenile amyotrophic lateral sclerosis,C3539195~TREMOR, HEREDITARY ESSENTIAL, 4,C3714524~Fibromyxosarcoma,C3888102~Frontotemporal Dementia With Motor Neuron Disease,
FXYD5	FXYD domain containing ion transport regulator 5(FXYD5)	Homo sapiens	C0023893~Liver Cirrhosis, Experimental,
GNA13	G protein subunit alpha 13(GNA13)	Homo sapiens	C0006413~Burkitt Lymphoma,C0079744~Diffuse Large B-Cell Lymphoma,C0343640~African Burkitt's lymphoma,C4721444~Burkitt Leukemia,
GNAI2	G protein subunit alpha i2(GNAI2)	Homo sapiens	C0001618~Tumors of Adrenal Cortex,C0004245~Atrioventricular Block,C0006142~Malignant neoplasm of breast,C0007097~Carcinoma,C0023893~Liver Cirrhosis, Experimental,C0024667~Animal Mammary Neoplasms,C0024668~Mammary Neoplasms, Experimental,C0027643~Neoplasm Recurrence, Local,C0205696~Anaplastic carcinoma,C0205697~Carcinoma, Spindle-Cell,C0205698~Undifferentiated carcinoma,C0205699~Carcinomatosis,C0340485~Familial ventricular tachycardia,C0346402~Malignant neoplasm of adrenal cortex,C0428977~Bradycardia,C0678222~Breast Carcinoma,C1257925~Mammary Carcinoma, Animal,C1257931~Mammary Neoplasms, Human,C1332218~Adult Type Ovarian Granulosa Cell Tumor,C1370419~Ovarian Granulosa Cell Tumor,C1458155~Mammary Neoplasms,C4704874~Mammary Carcinoma, Human,
GPR183	G protein-coupled receptor 183(GPR183)	Homo sapiens	C0017661~IGA Glomerulonephritis,C0023467~Leukemia, Myelocytic, Acute,C0023493~Adult T-Cell Lymphoma/Leukemia,
G3BP2	G3BP stress granule assembly factor 2(G3BP2)	Homo sapiens	C0006142~Malignant neoplasm of breast,
GATA3	GATA binding protein 3(GATA3)	Homo sapiens	C0003873~Rheumatoid Arthritis,C0006142~Malignant neoplasm of breast,C0006413~Burkitt Lymphoma,C0007097~Carcinoma,C0014457~Eosinophilia,C0014458~Eosinophilia, Tropical,C0019829~Hodgkin Disease,C0021368~Inflammation,C0023485~Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,C0023493~Adult T-Cell Lymphoma/Leukemia,C0024667~Animal Mammary Neoplasms,C0024668~Mammary Neoplasms, Experimental,C0025568~Metaplasia,C0027819~Neuroblastoma,C0152266~Mixed Cellularity Hodgkin Lymphoma,C0152267~Hodgkin lymphoma, lymphocyte depletion,C0205696~Anaplastic carcinoma,C0205697~Carcinoma, Spindle-Cell,C0205698~Undifferentiated carcinoma,C0205699~Carcinomatosis,C0220597~Adult Hodgkin Lymphoma,C0496956~Neoplasm of uncertain or unknown behavior of breast,C0678222~Breast Carcinoma,C0858252~Breast adenocarcinoma,C1257925~Mammary Carcinoma, Animal,C1266194~Lymphocyte Rich Classical Hodgkin Lymphoma,C1292769~Precursor B-cell lymphoblastic leukemia,C1334968~Nodular Lymphocyte Predominant Hodgkin Lymphoma,C1840333~Barakat syndrome,C2930967~Gastro-enteropancreatic neuroendocrine tumor,
GATAD2B	GATA zinc finger domain containing 2B(GATAD2B)	Homo sapiens	C3554448~MENTAL RETARDATION, AUTOSOMAL DOMINANT 18,
GDI1	GDP dissociation inhibitor 1(GDI1)	Homo sapiens	C0019193~Hepatitis, Toxic,C0860207~Drug-Induced Liver Disease,C1136249~Mental Retardation, X-Linked,C1262760~Hepatitis, Drug-Induced,C1862939~AMYOTROPHIC LATERAL SCLEROSIS 1,C1862941~Amyotrophic Lateral Sclerosis, Sporadic,C2931498~Mental Retardation, X-Linked 1,C3501611~Mental Retardation, X-Linked Nonsyndromic,C3658290~Drug-Induced Acute Liver Injury,C3887939~MENTAL RETARDATION, X-LINKED 41,C4277682~Chemical and Drug Induced Liver Injury,C4279912~Chemically-Induced Liver Toxicity,C4551993~Amyotrophic Lateral Sclerosis, Familial,
HTATIP2	HIV-1 Tat interactive protein 2(HTATIP2)	Homo sapiens	C2239176~Liver carcinoma,
HTRA2	HtrA serine peptidase 2(HTRA2)	Homo sapiens	C0007787~Transient Ischemic Attack,C0027947~Neutropenia,C0242422~Parkinsonian Disorders,C0242423~Ramsay Hunt Paralysis Syndrome,C0472381~Posterior Circulation Transient Ischemic Attack,C0751019~Carotid Circulation Transient Ischemic Attack,C0751020~Transient Ischemic Attack, Vertebrobasilar Circulation,C0751021~Crescendo Transient Ischemic Attacks,C0751022~Brain Stem Ischemia, Transient,C0752097~Autosomal Dominant Juvenile Parkinson Disease,C0752098~Autosomal Dominant Parkinsonism,C0752100~Autosomal Recessive Parkinsonism,C0752101~Parkinsonism, Experimental,C0752104~Familial Juvenile Parkinsonism,C0752105~Parkinsonism, Juvenile,C0917805~Transient Cerebral Ischemia,C1527335~Transient Ischemic Attack, Anterior Circulation,C1853202~PARKINSON DISEASE 13, AUTOSOMAL DOMINANT, SUSCEPTIBILITY TO,C1868675~PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE,C4310650~3-METHYLGLUTACONIC ACIDURIA, TYPE VIII,
