source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents
GO:BP	GO:0008219	cell death	4.132976362663813e-29	True	"""Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."" [GOC:mah, GOC:mtg_apoptosis, PMID:25236395]"	1988	355	113	21031	0.3183098591549296	0.056841046277665994	query_1	['GO:0009987']
GO:BP	GO:0042221	response to chemical	4.333737929705283e-29	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]"	3957	355	164	21031	0.4619718309859155	0.041445539550164265	query_1	['GO:0050896']
GO:BP	GO:0002682	regulation of immune system process	6.080737288269e-29	True	"""Any process that modulates the frequency, rate, or extent of an immune system process."" [GOC:add]"	1512	355	98	21031	0.27605633802816903	0.06481481481481481	query_1	['GO:0002376', 'GO:0050789']
GO:BP	GO:0043067	regulation of programmed cell death	1.1769408656575633e-27	True	"""Any process that modulates the frequency, rate or extent of programmed cell death, cell death resulting from activation of endogenous cellular processes."" [GOC:jl]"	1506	355	96	21031	0.2704225352112676	0.06374501992031872	query_1	['GO:0012501', 'GO:0050794']
GO:BP	GO:0006915	apoptotic process	2.9587634952102556e-27	True	"""A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."" [GOC:cjm, GOC:dhl, GOC:ecd, GOC:go_curators, GOC:mtg_apoptosis, GOC:tb, ISBN:0198506732, PMID:18846107, PMID:21494263]"	1913	355	108	21031	0.30422535211267604	0.056455828541557763	query_1	['GO:0012501']
GO:BP	GO:0046649	lymphocyte activation	7.380216242773728e-27	True	"""A change in morphology and behavior of a lymphocyte resulting from exposure to a specific antigen, mitogen, cytokine, chemokine, cellular ligand, or soluble factor."" [GOC:mgi_curators, ISBN:0781735149]"	783	355	69	21031	0.19436619718309858	0.08812260536398467	query_1	['GO:0045321']
GO:BP	GO:0048583	regulation of response to stimulus	1.8317299764822927e-26	True	"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	3939	355	159	21031	0.447887323943662	0.04036557501904037	query_1	['GO:0050789', 'GO:0050896']
GO:BP	GO:0042110	T cell activation	7.17581764726057e-26	True	"""The change in morphology and behavior of a mature or immature T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."" [GOC:mgi_curators, ISBN:0781735149]"	555	355	58	21031	0.16338028169014085	0.1045045045045045	query_1	['GO:0046649']
GO:BP	GO:0042981	regulation of apoptotic process	7.998467403052937e-26	True	"""Any process that modulates the occurrence or rate of cell death by apoptotic process."" [GOC:jl, GOC:mtg_apoptosis]"	1463	355	92	21031	0.2591549295774648	0.06288448393711552	query_1	['GO:0006915', 'GO:0043067']
GO:CC	GO:0031982	vesicle	1.0129972819440237e-25	True	"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]"	4004	358	154	22097	0.4301675977653631	0.038461538461538464	query_1	['GO:0043227']
GO:BP	GO:0001775	cell activation	9.5673440298796e-25	True	"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]"	1092	355	78	21031	0.21971830985915494	0.07142857142857142	query_1	['GO:0009987', 'GO:0032501']
GO:CC	GO:0070062	extracellular exosome	9.76823024814557e-25	True	"""A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."" [GOC:BHF, GOC:mah, GOC:vesicles, PMID:15908444, PMID:17641064, PMID:19442504, PMID:19498381, PMID:22418571, PMID:24009894]"	2109	358	106	22097	0.29608938547486036	0.05026078710289237	query_1	['GO:0005615', 'GO:1903561']
GO:BP	GO:0050789	regulation of biological process	1.4987268415932566e-24	True	"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]"	12287	355	302	21031	0.8507042253521127	0.02457882314641491	query_1	['GO:0008150', 'GO:0065007']
GO:BP	GO:0006952	defense response	2.1706308243764686e-24	True	"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]"	1791	355	100	21031	0.28169014084507044	0.05583472920156337	query_1	['GO:0006950']
GO:CC	GO:1903561	extracellular vesicle	2.474755244511602e-24	True	"""Any vesicle that is part of the extracellular region."" [GO_REF:0000064, GOC:pm, GOC:TermGenie, PMID:24769233]"	2133	358	106	22097	0.29608938547486036	0.049695264885138306	query_1	['GO:0031982', 'GO:0065010']
GO:CC	GO:0043230	extracellular organelle	2.5716776081031916e-24	True	"""Organized structure of distinctive morphology and function, occurring outside the cell. Includes, for example, extracellular membrane vesicles (EMVs) and the cellulosomes of anaerobic bacteria and fungi."" [GOC:jl, PMID:9914479]"	2134	358	106	22097	0.29608938547486036	0.04967197750702906	query_1	['GO:0005576', 'GO:0043226']
GO:CC	GO:0065010	extracellular membrane-bounded organelle	2.5716776081031916e-24	True	"""Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."" [GOC:isa_complete]"	2134	358	106	22097	0.29608938547486036	0.04967197750702906	query_1	['GO:0043227', 'GO:0043230']
GO:BP	GO:0002684	positive regulation of immune system process	2.9074344341926943e-24	True	"""Any process that activates or increases the frequency, rate, or extent of an immune system process."" [GOC:add]"	1054	355	76	21031	0.2140845070422535	0.07210626185958255	query_1	['GO:0002376', 'GO:0002682', 'GO:0048518']
GO:BP	GO:0050794	regulation of cellular process	3.1609526483126487e-24	True	"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]"	11738	355	294	21031	0.828169014084507	0.025046856363946157	query_1	['GO:0009987', 'GO:0050789']
GO:BP	GO:0045321	leukocyte activation	3.325821411435579e-24	True	"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]"	946	355	72	21031	0.2028169014084507	0.07610993657505286	query_1	['GO:0001775', 'GO:0002376']
GO:BP	GO:0051239	regulation of multicellular organismal process	5.217038833457323e-24	True	"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]"	2955	355	131	21031	0.36901408450704226	0.04433164128595601	query_1	['GO:0032501', 'GO:0050789']
GO:BP	GO:0009605	response to external stimulus	5.885685291087367e-24	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]"	2723	355	125	21031	0.352112676056338	0.04590525156077855	query_1	['GO:0050896']
GO:BP	GO:0065007	biological regulation	3.2741554710917094e-23	True	"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]"	12680	355	305	21031	0.8591549295774648	0.024053627760252366	query_1	['GO:0008150']
GO:BP	GO:0051249	regulation of lymphocyte activation	6.910645963275168e-23	True	"""Any process that modulates the frequency, rate or extent of lymphocyte activation."" [GOC:ai]"	497	355	52	21031	0.14647887323943662	0.10462776659959759	query_1	['GO:0002694', 'GO:0046649']
GO:BP	GO:0002694	regulation of leukocyte activation	4.1360768171777456e-22	True	"""Any process that modulates the frequency, rate, or extent of leukocyte activation."" [GOC:add]"	561	355	54	21031	0.15211267605633802	0.0962566844919786	query_1	['GO:0002682', 'GO:0045321', 'GO:0050865']
GO:MF	GO:0005515	protein binding	6.199526146722065e-22	True	"""Binding to a protein."" [GOC:go_curators]"	14838	358	337	20212	0.9413407821229051	0.022711955789189917	query_1	['GO:0005488']
GO:BP	GO:0071310	cellular response to organic substance	9.423414194944867e-22	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an organic substance stimulus."" [GOC:mah]"	1971	355	101	21031	0.28450704225352114	0.05124302384576357	query_1	['GO:0010033', 'GO:0070887']
GO:BP	GO:0009893	positive regulation of metabolic process	1.0886499983873651e-20	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]"	3711	355	143	21031	0.4028169014084507	0.038534087846941525	query_1	['GO:0008152', 'GO:0019222', 'GO:0048518']
GO:BP	GO:0044419	biological process involved in interspecies interaction between organisms	1.3690672073524953e-20	True	"""Any process evolved to enable an interaction with an organism of a different species."" [GOC:cc]"	1724	355	92	21031	0.2591549295774648	0.05336426914153132	query_1	['GO:0008150']
GO:MF	GO:0019899	enzyme binding	2.0997070921048218e-20	True	"""Binding to an enzyme, a protein with catalytic activity."" [GOC:jl]"	2103	358	104	20212	0.2905027932960894	0.04945316214931051	query_1	['GO:0005515']
GO:BP	GO:0048519	negative regulation of biological process	2.98627574202646e-20	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]"	5874	355	188	21031	0.5295774647887324	0.032005447735784814	query_1	['GO:0008150', 'GO:0050789']
GO:CC	GO:0005829	cytosol	3.3198449495217767e-20	True	"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]"	5487	358	174	22097	0.4860335195530726	0.03171131765992345	query_1	['GO:0005737', 'GO:0110165']
GO:BP	GO:0050865	regulation of cell activation	3.704493304561834e-20	True	"""Any process that modulates the frequency, rate or extent of cell activation, the change in the morphology or behavior of a cell resulting from exposure to an activating factor such as a cellular or soluble ligand."" [GOC:ai]"	616	355	54	21031	0.15211267605633802	0.08766233766233766	query_1	['GO:0001775', 'GO:0050794', 'GO:0051239']
GO:BP	GO:0048523	negative regulation of cellular process	4.4491937038983706e-20	True	"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]"	5541	355	181	21031	0.5098591549295775	0.03266558382963364	query_1	['GO:0009987', 'GO:0048519', 'GO:0050794']
GO:BP	GO:0050863	regulation of T cell activation	4.6241211099744473e-20	True	"""Any process that modulates the frequency, rate or extent of T cell activation."" [GOC:ai]"	374	355	43	21031	0.12112676056338029	0.11497326203208556	query_1	['GO:0042110', 'GO:0051249']
GO:BP	GO:0009607	response to biotic stimulus	2.125715075251529e-19	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:hb]"	1586	355	86	21031	0.24225352112676057	0.05422446406052964	query_1	['GO:0050896']
GO:BP	GO:0007154	cell communication	2.138106769657712e-19	True	"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]"	6537	355	199	21031	0.5605633802816902	0.030442098822089644	query_1	['GO:0009987']
GO:BP	GO:0050776	regulation of immune response	2.854383432552201e-19	True	"""Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]"	881	355	63	21031	0.17746478873239438	0.07150964812712826	query_1	['GO:0002682', 'GO:0006955', 'GO:0048583']
GO:BP	GO:0010604	positive regulation of macromolecule metabolic process	4.89921097382682e-19	True	"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	3420	355	133	21031	0.37464788732394366	0.03888888888888889	query_1	['GO:0009893', 'GO:0043170', 'GO:0060255']
GO:BP	GO:0051707	response to other organism	7.286450159349646e-19	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from another living organism."" [GOC:ai]"	1548	355	84	21031	0.23661971830985915	0.05426356589147287	query_1	['GO:0043207', 'GO:0044419']
GO:BP	GO:0043207	response to external biotic stimulus	8.263461730816311e-19	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external biotic stimulus, an external stimulus caused by, or produced by living things."" [GOC:go_curators]"	1551	355	84	21031	0.23661971830985915	0.05415860735009671	query_1	['GO:0009605', 'GO:0009607']
GO:BP	GO:0007159	leukocyte cell-cell adhesion	9.002433329319683e-19	True	"""The attachment of a leukocyte to another cell via adhesion molecules."" [GOC:go_curators]"	403	355	43	21031	0.12112676056338029	0.10669975186104218	query_1	['GO:0098609']
GO:BP	GO:0034097	response to cytokine	1.077749553030821e-18	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:sl]"	932	355	64	21031	0.18028169014084508	0.06866952789699571	query_1	['GO:0010033']
GO:BP	GO:1901700	response to oxygen-containing compound	4.865212139725562e-18	True	"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]"	1663	355	86	21031	0.24225352112676057	0.05171377029464823	query_1	['GO:0042221']
GO:BP	GO:0023052	signaling	6.6817393616745996e-18	True	"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]"	6447	355	194	21031	0.5464788732394367	0.030091515433534978	query_1	['GO:0050789']
GO:BP	GO:0080090	regulation of primary metabolic process	9.203337294211289e-18	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]"	5591	355	177	21031	0.49859154929577465	0.0316580218207834	query_1	['GO:0019222', 'GO:0044238']
GO:BP	GO:1903037	regulation of leukocyte cell-cell adhesion	1.0426271392638167e-17	True	"""Any process that modulates the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]"	365	355	40	21031	0.11267605633802817	0.1095890410958904	query_1	['GO:0007159', 'GO:0022407']
GO:CC	GO:0031410	cytoplasmic vesicle	1.2117798704433634e-17	True	"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]"	2513	358	104	22097	0.2905027932960894	0.041384799044966177	query_1	['GO:0005737', 'GO:0097708']
GO:BP	GO:0007165	signal transduction	1.2174582633458644e-17	True	"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]"	5959	355	184	21031	0.5183098591549296	0.0308776640375902	query_1	['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']
GO:BP	GO:0048584	positive regulation of response to stimulus	1.2883958577623692e-17	True	"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]"	2274	355	102	21031	0.28732394366197184	0.044854881266490766	query_1	['GO:0048518', 'GO:0048583', 'GO:0050896']
GO:CC	GO:0097708	intracellular vesicle	1.4033644937003217e-17	True	"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]"	2518	358	104	22097	0.2905027932960894	0.04130262112787927	query_1	['GO:0031982', 'GO:0043231']
GO:BP	GO:0031325	positive regulation of cellular metabolic process	2.0617789212748836e-17	True	"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]"	3346	355	128	21031	0.36056338028169016	0.03825463239689181	query_1	['GO:0009893', 'GO:0031323', 'GO:0044237', 'GO:0048522']
GO:CC	GO:0005576	extracellular region	2.0829369292864277e-17	True	"""The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."" [GOC:go_curators]"	4213	358	142	22097	0.39664804469273746	0.03370519819605981	query_1	['GO:0110165']
GO:BP	GO:0019222	regulation of metabolic process	2.4778939306290156e-17	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]"	7158	355	206	21031	0.5802816901408451	0.028778988544286115	query_1	['GO:0008152', 'GO:0050789']
GO:BP	GO:0051171	regulation of nitrogen compound metabolic process	2.513799914053201e-17	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]"	5440	355	173	21031	0.48732394366197185	0.03180147058823529	query_1	['GO:0006807', 'GO:0019222']
GO:BP	GO:0030155	regulation of cell adhesion	6.634652035322726e-17	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."" [GOC:mah]"	778	355	56	21031	0.15774647887323945	0.07197943444730077	query_1	['GO:0007155', 'GO:0050794']
GO:BP	GO:0022407	regulation of cell-cell adhesion	9.254767105326236e-17	True	"""Any process that modulates the frequency, rate or extent of attachment of a cell to another cell."" [GOC:isa_complete]"	477	355	44	21031	0.12394366197183099	0.09224318658280922	query_1	['GO:0030155', 'GO:0098609']
GO:BP	GO:0080134	regulation of response to stress	1.4341986985144745e-16	True	"""Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:dhl]"	1340	355	74	21031	0.2084507042253521	0.05522388059701493	query_1	['GO:0006950', 'GO:0048583']
GO:CC	GO:0005615	extracellular space	2.1544923472541726e-16	True	"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]"	3303	358	120	22097	0.33519553072625696	0.03633060853769301	query_1	['GO:0005576', 'GO:0110165']
GO:BP	GO:0060255	regulation of macromolecule metabolic process	2.2339644303449304e-16	True	"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]"	6631	355	194	21031	0.5464788732394367	0.029256522394812245	query_1	['GO:0019222', 'GO:0043170']
GO:BP	GO:0001817	regulation of cytokine production	2.559102612098145e-16	True	"""Any process that modulates the frequency, rate, or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]"	773	355	55	21031	0.15492957746478872	0.07115135834411385	query_1	['GO:0001816', 'GO:0010468', 'GO:0051239']
GO:BP	GO:0001816	cytokine production	3.6435508143999233e-16	True	"""The appearance of a cytokine due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149]"	779	355	55	21031	0.15492957746478872	0.07060333761232349	query_1	['GO:0010467', 'GO:0032501']
GO:BP	GO:0051240	positive regulation of multicellular organismal process	3.810093702401495e-16	True	"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]"	1637	355	82	21031	0.23098591549295774	0.0500916310323763	query_1	['GO:0032501', 'GO:0048518', 'GO:0051239']
GO:BP	GO:0032101	regulation of response to external stimulus	4.3780566384469925e-16	True	"""Any process that modulates the frequency, rate or extent of a response to an external stimulus."" [GOC:mah]"	1077	355	65	21031	0.18309859154929578	0.060352831940575676	query_1	['GO:0009605', 'GO:0048583']
GO:BP	GO:0051251	positive regulation of lymphocyte activation	6.200237857782619e-16	True	"""Any process that activates or increases the frequency, rate or extent of lymphocyte activation."" [GOC:ai]"	323	355	36	21031	0.10140845070422536	0.11145510835913312	query_1	['GO:0002696', 'GO:0046649', 'GO:0051249']
GO:BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	1.2177650397252253e-15	True	"""Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion."" [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]"	270	355	33	21031	0.09295774647887324	0.12222222222222222	query_1	['GO:0007159', 'GO:0022409', 'GO:1903037']
GO:BP	GO:0006954	inflammatory response	1.2562263733278065e-15	True	"""The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."" [GO_REF:0000022, ISBN:0198506732]"	829	355	56	21031	0.15774647887323945	0.06755126658624849	query_1	['GO:0006952']
GO:BP	GO:0050778	positive regulation of immune response	1.3330035706680172e-15	True	"""Any process that activates or increases the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus."" [GOC:ai]"	718	355	52	21031	0.14647887323943662	0.07242339832869081	query_1	['GO:0002684', 'GO:0006955', 'GO:0048584', 'GO:0050776']
GO:BP	GO:0002696	positive regulation of leukocyte activation	1.6965270204101017e-15	True	"""Any process that activates or increases the frequency, rate, or extent of leukocyte activation."" [GOC:add]"	354	355	37	21031	0.10422535211267606	0.10451977401129943	query_1	['GO:0002684', 'GO:0002694', 'GO:0045321', 'GO:0050867']
GO:BP	GO:0007166	cell surface receptor signaling pathway	1.836880442676847e-15	True	"""The series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"	2799	355	111	21031	0.3126760563380282	0.03965702036441586	query_1	['GO:0007165']
GO:BP	GO:0071345	cellular response to cytokine stimulus	2.1749672807785726e-15	True	"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:mah]"	839	355	56	21031	0.15774647887323945	0.066746126340882	query_1	['GO:0034097', 'GO:0071310']
GO:BP	GO:2000026	regulation of multicellular organismal development	2.66637357268374e-15	True	"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]"	1411	355	74	21031	0.2084507042253521	0.05244507441530829	query_1	['GO:0007275', 'GO:0050793', 'GO:0051239']
